2025-10-30 22:39:41.919725 0 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 1, 'num_estimators': 128, 'max_depth': 128, 'window_seconds': 2} 0.36239127128926957
2025-10-30 22:42:06.329272 1 {'augment_factor': 8, 'chunk_seconds': 2, 'num_freqs': 1, 'num_estimators': 32, 'max_depth': 16, 'window_seconds': 2} 0.3498796388549794
2025-10-30 22:43:18.215200 2 {'augment_factor': 1, 'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 16, 'max_depth': 32, 'window_seconds': 3} 0.4100801458401934
2025-10-30 22:44:13.347568 3 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 6, 'num_estimators': 16, 'max_depth': 32, 'window_seconds': 5} 0.42481451916748086
2025-10-30 22:45:28.541913 4 {'augment_factor': 2, 'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 64, 'max_depth': 8, 'window_seconds': 4} 0.381150395958565
2025-10-30 22:46:25.752750 5 {'augment_factor': 8, 'chunk_seconds': 2, 'num_freqs': 6, 'num_estimators': 32, 'max_depth': 32, 'window_seconds': 3} 0.4131238072721663
2025-10-30 22:47:40.615917 6 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 8, 'max_depth': 8, 'window_seconds': 3} 0.3481060620682897
2025-10-30 22:49:45.769730 7 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 3, 'num_estimators': 16, 'max_depth': 128, 'window_seconds': 2} 0.39265695218711744
2025-10-30 22:50:56.953738 8 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 64, 'max_depth': 32, 'window_seconds': 5} 0.429258274454103
2025-10-30 22:53:20.035246 9 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 8, 'window_seconds': 2} 0.3668257039174585
2025-10-30 22:54:37.524925 10 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 64, 'max_depth': 64, 'window_seconds': 5} 0.4339815797149478
2025-10-30 22:57:03.508499 11 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 64, 'max_depth': 64, 'window_seconds': 5} 0.43536333050132825
2025-10-30 22:59:29.182078 12 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 64, 'max_depth': 64, 'window_seconds': 5} 0.43777884844138587
2025-10-30 23:01:55.206463 13 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 64, 'max_depth': 64, 'window_seconds': 4} 0.4333552835489331
2025-10-30 23:04:18.754350 14 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 64, 'window_seconds': 4} 0.43079333060077746
2025-10-30 23:06:42.379684 15 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 64, 'window_seconds': 5} 0.3964902795862622
2025-10-30 23:08:51.022326 16 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 64, 'max_depth': 64, 'window_seconds': 4} 0.4357637323791757
2025-10-30 23:11:14.152779 17 {'augment_factor': 8, 'chunk_seconds': 3, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 16, 'window_seconds': 4} 0.4191037354034642
2025-10-30 23:12:13.640713 18 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 64, 'window_seconds': 4} 0.4302279099179878
2025-10-30 23:14:36.786223 19 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 3, 'num_estimators': 32, 'max_depth': 64, 'window_seconds': 5} 0.40076674469163254
2025-10-30 23:15:53.282590 20 {'augment_factor': 8, 'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 64, 'window_seconds': 4} 0.42111019042292
2025-10-30 23:17:19.063362 21 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 64, 'max_depth': 64, 'window_seconds': 5} 0.43397204434194125
2025-10-30 23:19:44.749630 22 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 64, 'max_depth': 64, 'window_seconds': 5} 0.4359700754204266
2025-10-30 23:22:10.476326 23 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 64, 'window_seconds': 5} 0.43806364208296616
2025-10-30 23:24:36.654061 24 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 16, 'window_seconds': 5} 0.44418299387014276
2025-10-30 23:26:59.975479 25 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 8, 'max_depth': 16, 'window_seconds': 5} 0.41668874266047307
2025-10-30 23:29:09.393085 26 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 64, 'max_depth': 16, 'window_seconds': 5} 0.44138347113672816
2025-10-30 23:31:29.478558 27 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 64, 'max_depth': 16, 'window_seconds': 5} 0.43350540074191374
2025-10-30 23:33:49.067300 28 {'augment_factor': 2, 'chunk_seconds': 2, 'num_freqs': 5, 'num_estimators': 64, 'max_depth': 16, 'window_seconds': 4} 0.42994333190324735
2025-10-30 23:35:07.405682 29 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 128, 'window_seconds': 5} 0.43282860845962823
2025-10-30 23:37:43.470183 30 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 16, 'max_depth': 16, 'window_seconds': 3} 0.4187264760774309
2025-10-30 23:39:49.323460 31 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 16, 'window_seconds': 5} 0.44662342046438286
2025-10-30 23:42:12.809727 32 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 16, 'window_seconds': 5} 0.4479923178994441
2025-10-30 23:44:36.331284 33 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 16, 'window_seconds': 5} 0.43945504890249487
2025-10-30 23:46:50.013114 34 {'augment_factor': 2, 'chunk_seconds': 2, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 16, 'window_seconds': 5} 0.4375554934420199
2025-10-30 23:48:11.134327 35 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 5, 'num_estimators': 64, 'max_depth': 16, 'window_seconds': 5} 0.4326436020375562
2025-10-30 23:50:31.266899 36 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 1, 'num_estimators': 16, 'max_depth': 16, 'window_seconds': 5} 0.3493842327785622
2025-10-30 23:52:40.386921 37 {'augment_factor': 2, 'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 8, 'max_depth': 16, 'window_seconds': 4} 0.40541983703833523
2025-10-30 23:53:35.261504 38 {'augment_factor': 2, 'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 16, 'window_seconds': 5} 0.43858720975991045
2025-10-30 23:54:51.317167 39 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 64, 'max_depth': 16, 'window_seconds': 3} 0.42883856529476877
2025-10-30 23:57:06.575469 40 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 128, 'window_seconds': 5} 0.43256924996827667
2025-10-30 23:59:42.808181 41 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 16, 'window_seconds': 5} 0.4390390864062757
2025-10-31 00:01:56.323234 42 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 16, 'window_seconds': 5} 0.43705632775100406
2025-10-31 00:04:09.695164 43 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 32, 'window_seconds': 5} 0.4278935911336079
