2025-10-31 02:21:45.788736 0 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 50, 'learning_rate': 0.028466986022559378, 'max_depth': 6, 'min_samples_split': 14, 'min_samples_leaf': 8, 'subsample': 0.8352581349689916, 'window_seconds': 4} 0.41436007795781277
2025-10-31 02:26:04.175703 1 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 50, 'learning_rate': 0.019741695161843573, 'max_depth': 7, 'min_samples_split': 14, 'min_samples_leaf': 9, 'subsample': 0.8851276240533092, 'window_seconds': 5} 0.40240930036952766
2025-10-31 02:31:16.374132 2 {'augment_factor': 8, 'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 50, 'learning_rate': 0.02082472447866721, 'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 8, 'subsample': 0.921471421426979, 'window_seconds': 2} 0.3677050896393153
2025-10-31 02:32:42.279060 3 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 5, 'num_estimators': 50, 'learning_rate': 0.032367872406396304, 'max_depth': 5, 'min_samples_split': 12, 'min_samples_leaf': 9, 'subsample': 0.9859882595846305, 'window_seconds': 2} 0.3900411243268098
2025-10-31 02:36:36.190984 4 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 50, 'learning_rate': 0.014942369345346509, 'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 10, 'subsample': 0.9813864813614629, 'window_seconds': 2} 0.3840261832506102
2025-10-31 02:41:47.714073 5 {'augment_factor': 8, 'chunk_seconds': 3, 'num_freqs': 2, 'num_estimators': 50, 'learning_rate': 0.06900784774877006, 'max_depth': 5, 'min_samples_split': 19, 'min_samples_leaf': 1, 'subsample': 0.7924215567051398, 'window_seconds': 3} 0.3633373071695827
2025-10-31 02:43:07.224269 6 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 50, 'learning_rate': 0.036626230845152964, 'max_depth': 6, 'min_samples_split': 20, 'min_samples_leaf': 9, 'subsample': 0.7568081739549419, 'window_seconds': 2} 0.3907487225908544
2025-10-31 02:47:09.337297 7 {'augment_factor': 4, 'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 200, 'learning_rate': 0.024641019923940827, 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 10, 'subsample': 0.9699920708273826, 'window_seconds': 5} 0.4011067108685464
2025-10-31 02:49:48.601297 8 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 1, 'num_estimators': 200, 'learning_rate': 0.20901343072543171, 'max_depth': 4, 'min_samples_split': 7, 'min_samples_leaf': 8, 'subsample': 0.8103091508230941, 'window_seconds': 4} 0.32885110502378556
2025-10-31 02:53:08.156178 9 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 2, 'num_estimators': 300, 'learning_rate': 0.0366421522393671, 'max_depth': 3, 'min_samples_split': 4, 'min_samples_leaf': 6, 'subsample': 0.8072734009722161, 'window_seconds': 5} 0.3939776317248383
2025-10-31 03:00:27.289146 10 {'augment_factor': 2, 'chunk_seconds': 2, 'num_freqs': 7, 'num_estimators': 100, 'learning_rate': 0.10425732455570091, 'max_depth': 8, 'min_samples_split': 2, 'min_samples_leaf': 3, 'subsample': 0.6206265801320537, 'window_seconds': 4} 0.39040708527083495
2025-10-31 03:03:47.951922 11 {'augment_factor': 8, 'chunk_seconds': 2, 'num_freqs': 7, 'num_estimators': 100, 'learning_rate': 0.012381515785465019, 'max_depth': 7, 'min_samples_split': 13, 'min_samples_leaf': 6, 'subsample': 0.8786142413408683, 'window_seconds': 5} 0.39897197949723945
2025-10-31 03:07:38.001442 12 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 300, 'learning_rate': 0.05845741389287997, 'max_depth': 7, 'min_samples_split': 15, 'min_samples_leaf': 7, 'subsample': 0.8718398777794951, 'window_seconds': 4} 0.41974086571084673
2025-10-31 03:27:33.641897 13 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 6, 'num_estimators': 300, 'learning_rate': 0.07779650768665587, 'max_depth': 8, 'min_samples_split': 10, 'min_samples_leaf': 4, 'subsample': 0.7091575556282792, 'window_seconds': 4} 0.4144924462566954
2025-10-31 03:43:54.680582 14 {'augment_factor': 2, 'chunk_seconds': 2, 'num_freqs': 4, 'num_estimators': 300, 'learning_rate': 0.10531510129613998, 'max_depth': 8, 'min_samples_split': 9, 'min_samples_leaf': 4, 'subsample': 0.7143812357250153, 'window_seconds': 3} 0.3783378232073864
